GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bookstoragemanager,com.cursospringboot.bookstoragemanager.author.dto,AuthorDTO,181,0,30,0,6,0,27,0,12,0
bookstoragemanager,com.cursospringboot.bookstoragemanager.exception,ApiError,260,0,40,0,9,0,37,0,17,0
bookstoragemanager,com.cursospringboot.bookstoragemanager.exception,BookstoreExceptionHandler,108,0,0,0,16,0,8,0,8,0
bookstoragemanager,com.cursospringboot.bookstoragemanager.exception,ApiError.ApiErrorBuilder,74,0,0,0,1,0,8,0,8,0
bookstoragemanager,com.cursospringboot.bookstoragemanager.books.entity,Book,350,0,58,0,9,0,50,0,21,0
bookstoragemanager,com.cursospringboot.bookstoragemanager.author.mapper,AuthorMapperImpl,52,0,6,0,16,0,6,0,3,0
bookstoragemanager,com.cursospringboot.bookstoragemanager.author.mapper,AuthorMapper,5,0,0,0,1,0,1,0,1,0
bookstoragemanager,com.cursospringboot.bookstoragemanager.author.service,AuthorService,43,0,0,0,13,0,6,0,6,0
bookstoragemanager,com.cursospringboot.bookstoragemanager.author.exception,AuthorAlreadyExistsException,11,0,0,0,2,0,1,0,1,0
bookstoragemanager,com.cursospringboot.bookstoragemanager.customInfoEndpoint,InfoWebPointExtension,31,0,0,0,7,0,3,0,3,0
bookstoragemanager,com.cursospringboot.bookstoragemanager.entity,Auditable,17,0,0,0,4,0,5,0,5,0
bookstoragemanager,com.cursospringboot.bookstoragemanager.publishers.entity,Publisher,255,0,46,0,6,0,38,0,15,0
bookstoragemanager,com.cursospringboot.bookstoragemanager.config,SwaggerConfig,60,0,0,0,16,0,3,0,3,0
bookstoragemanager,com.cursospringboot.bookstoragemanager,BookstoragemanagerApplication,8,0,0,0,3,0,2,0,2,0
bookstoragemanager,com.cursospringboot.bookstoragemanager.controller,BookController,5,0,0,0,2,0,2,0,2,0
bookstoragemanager,com.cursospringboot.bookstoragemanager.users.enums,Gender,37,0,0,0,7,0,3,0,3,0
bookstoragemanager,com.cursospringboot.bookstoragemanager.author.entity,Author,195,0,32,0,5,0,29,0,13,0
bookstoragemanager,com.cursospringboot.bookstoragemanager.author.controller,AuthorController,14,0,0,0,6,0,3,0,3,0
bookstoragemanager,com.cursospringboot.bookstoragemanager.users.entity,User,410,0,72,0,10,0,59,0,23,0
